功能,描述,是否合同内
问答,标准规范、行业知识、企业管理问答,水文知识嵌入表达
问数（调用系统数据实现数据问答功能）,1、询问某个监测站点当前监测数值，AI给出答案后，询问是否系统定位，确认定位后GIS地图自动定位至该测点并展示过程线,合同未明确标明有问数要求，仅涉及数据接入、处理和管理
,2、询问某个监测站点指定时间范围内的监测数值并AI页面绘制曲线,
,3、询问历史调度信息，总结历史调度情况并给出相应参考文件,
,4、历史最大洪水、最大降雨、历史发电记录信息问答,
洪水预报调度预演,1、洪水预报：AI页面给出参数输入引导，根据用户输入的参数，调用洪水预报模型并在AI页面展示预报结果（包括图）,合同为径流预测，但是本身就是在甲方提供的小时尺度上预测，因此可以理解为洪水预测
,2、洪水预报调度：AI页面给出参数输入引导，根据用户输入的参数，调用洪水预报模型和调度模型，并在AI页面展示预报调度结果（包括图）,合同主要要求为预测功能，但是实施方案有写到水库调度因此需要实现
,3、洪水（预报调度）预演：询问历史洪水淹没情况（AI页面给出参数输入引导，根据用户输入的参数，调用洪水预报模型和调度模型），AI页面总结洪水淹没情况，并询问是否预演可视化，确认后展示三维预演成果,淹没情况需要考虑水动力模型，合同中未要求；此外合同以及实施方案中未明确提到预演场景需要是洪水淹没场景
辅助决策,1、输入当前大坝、厂房、闸门等故障信息，给出可能原因、解决措施和依据，并给出历史相似故障记录,合同和实施方案均未提到
,2、AI页面给出参数输入引导，根据输入直接给出调度建议和依据,与实施方案中水库调度相关，但是调度只能给出下泄方案
智能培训,根据用户输入的操作指令，给出12345操作步骤（最好能给出相应的操作视频）,/
知识库,支持用户更新知识库,可支持
校核,根据行业标准校核当前文本错误,合同未要求
应急快报,1、根据监测数据自动生成预警单，支持用户下载编辑,属于预测结果输出
,2、根据要求匹配应急预案，生成应急单,合同未要求
,3、根据历史方案和应急预案要求，实现应急演练方案自动生成，支持用户下载编辑,合同未要求
